:120;60
0;0;0;4;0;12;0
-5c;0;4;3.0;0;12;0
-10c;0;7.0;2.25;0;12;0
-15c;0;9.25;1.6875;0;12;0
-20c;0;10.9375;1.265625;0;12;0
-25c;0;12.203125;0.94921875;0;12;0
-30c;0;13.15234375;0.7119140625;0;12;0
-35c;0;13.8642578125;0.533935546875;0;12;0
-40c;0;14.398193359375;0.40045166015625;0;12;0
-45c;0;14.79864501953125;0.3003387451171875;0;12;0
-50c;0;15.098983764648438;0.22525405883789062;0;12;0
-55c;0;15.324237823486328;0.16894054412841797;0;12;0
-60c;0;15.493178367614746;0.12670540809631348;0;12;0
-65c;0;15.61988377571106;0.09502905607223511;0;12;0
-70c;0;15.714912831783295;0.07127179205417633;0;12;0
-75c;0;15.786184623837471;0.05345384404063225;0;12;0
-80c;0;15.839638467878103;0.040090383030474186;0;12;0
-85c;0;15.879728850908577;0.03006778727285564;0;12;0
-90c;0;15.909796638181433;0.02255084045464173;0;12;0
-95c;0;15.932347478636075;0.016913130340981297;0;12;0
-100c;0;15.949260608977056;0.012684847755735973;0;12;0
0;0;15.961945456732792;4;0;12;0
0;0;19.961945456732792;1;0;12;0
-5c;0;20.961945456732792;0.75;0;12;0
-10c;0;21.711945456732792;0.5625;0;12;0
-15c;0;22.274445456732792;0.421875;0;12;0
-20c;0;22.696320456732792;0.31640625;0;12;0
-25c;0;23.012726706732792;0.2373046875;0;12;0
-30c;0;23.250031394232792;0.177978515625;0;12;0
-35c;0;23.428009909857792;0.13348388671875;0;12;0
-40c;0;23.561493796576542;0.1001129150390625;0;12;0
-45c;0;23.661606711615605;0.07508468627929688;0;12;0
-50c;0;23.7366913978949;0.056313514709472656;0;12;0
-45c;0;23.793004912604374;0.07508468627929688;0;12;0
-40c;0;23.86808959888367;0.1001129150390625;0;12;0
-35c;0;23.968202513922733;0.13348388671875;0;12;0
-30c;0;24.101686400641483;0.177978515625;0;12;0
-25c;0;24.279664916266483;0.2373046875;0;12;0
-20c;0;24.516969603766483;0.31640625;0;12;0
-15c;0;24.833375853766483;0.421875;0;12;0
-10c;0;25.255250853766483;0.5625;0;12;0
-5c;0;25.817750853766483;0.75;0;12;0
